,Agentic Marketer (Feature 3: Main Workspace Columns & Buttons),,,,,,,,,,
,,,,,,,,,,,
,Asset Type,Channel,Size Dimension,Word Count (Max),,,Tools Link,Button Text,,,(Note: Button placement)
,,,,Headline / Subject,Sub-Headline,Body,,,,,
,Email ,Database Email (HubSpot),,9–13 words / ~80 chars,27–34 words / ~220 chars,120-140 words total; CTA = 3–5 words,https://www.hubspot.com/ ,Open HubSpot,,,
,,WhatsApp,,4–7 words / ~30–55 chars,6–10 words / ~45–80 chars,50–80 words / ~350–550 chars,,,,,
,,LinkedIn Message,,8–12 words / ~60–90 chars,10–15 words / ~75–120 chars,80–120 words / ~550–850 chars,,,,,
,Solution Brochure ,,"A4 (210 × 297 mm), PDF ",6–10 words,15–20 words,120-140 words total; CTA = 3–5 words ,[Canva Template – Link] ,Open Canva Template,,,
,Solution Landing Page ,,,10–12 words / ~70 chars,20–25 words / ~120 chars ,40–60 words per paragraph; CTA = 3–5 words ,https://www.hubspot.com/ ,Open HubSpot,,,
,Solution Video Script ,,Text file (PDF/Word),,,~150 words per minute; CTA <10 words ,https://onedrive.live.com/login ,Open OneDrive,,,
,Solution Video Production,,,,,,https://www.capcut.com/,Open CapCut,,,
,Solution Article (4–6 pages) ,,"A4 (210 × 297 mm), PDF/Word ",8–12 words ,15–20 words ,Paragraphs 40–60 words ,https://onedrive.live.com/login ,Open OneDrive,,,
,Solution Banner Advert ,TikTok / Short Video,"1080x1920 px, 9:16 aspect ratio, 30s - 50s",,,130–150 words total,https://www.capcut.com/,Open CapCut,,,
,,,,,,,https://www.veed.io/,Open Veed.io,,,
,,YouTube / Video,"1920x1080 px, 16:9 aspect ratio, 1–3 mins",,,420–510 words total,[Canva Template – Link] ,Open Canva Template,,,
,,Facebook,1200x628 px,5–7 words / ~40 chars,10–15 words / ~90 chars,None; Image text <20%,[Canva Template – Link] ,Open Canva Template,,,
,,LinkedIn Ads,"1080x1080 px, 1:1 aspect ratio",5–7 words / ~40 chars,10–15 words / ~90 chars,None; Image text <20%,[Canva Template – Link] ,Open Canva Template,,,
,,Google Ads,300x250 px,5–7 words / ~40 chars ,10–15 words / ~90 chars,None; Image text <20%,[Canva Template – Link] ,Open Canva Template,,,
,Solution UVP Pitch ,,"1920x1080 px (HD), 16:9 aspect ratio",6–10 words per title ,10–15 words per sub-headline,"Bullet points: 5–7 words each, max 5 bullets ",https://onedrive.live.com/login ,Open OneDrive,,,
,Solution Minisite ,,"Responsive web (desktop 1440 px width, mobile 375 px)",10–12 words / ~70 chars,20–25 words / ~120 chars ,40–60 words per paragraph; CTA = 3–5 words ,https://www.hubspot.com/ ,Open HubSpot,,,
,Solution PPT ,,16:9 widescreen (1920x1080 px),6–10 words per title ,10–15 words per sub-headline,"Bullet points: 5–7 words each, max 5 bullets ",[Canva Template – Link] ,Open Canva Template,,,
,Product Brochure ,,"A4 (210 × 297 mm), PDF ",6–10 words,15–20 words,120-140 words total; CTA = 3–5 words ,[Canva Template – Link] ,Open Canva Template,,,
,Podcast ,,"MP3, 44.1kHz ",10–12 words / ~70 chars,20–25 words / ~120 chars ,40–60 words per paragraph,https://notebooklm.google/ ,Open NotebookLM,,,
